scope,group,metric,simulator,value,distance_to_vivid,criterion
global,global,events/s,pix2nvs,3.3496204306071506,2.3496204306071506,abs(ratio - 1)
global,global,events/pixel,pix2nvs,1.6102141321841117,0.6102141321841117,abs(ratio - 1)
global,global,events/s/pixel,pix2nvs,1.608532710118152,0.6085327101181519,abs(ratio - 1)
global,global,delai,dvs_voltmeter,1.1926662404422388,0.1926662404422388,abs(ratio - 1)
global,global,ON ratio,iebcs,7.150874657988067,7.150874657988067,abs(diff_pp)
global,global,pixels utilises,dvs_voltmeter,0.1260920491411821,0.1260920491411821,abs(diff_pp)
