simulator,n_sequences,events_per_second,events_per_pixel,on_fraction,events_per_second_per_pixel,active_pixel_fraction,delay_inter_event_per_pixel_us,pixels_with_delay_fraction,events_per_second_vs_vivid,events_per_pixel_vs_vivid,events_per_second_per_pixel_vs_vivid,delay_vs_vivid,on_fraction_diff_pp_vs_vivid,active_pixel_diff_pp_vs_vivid,temporal_window_rmse_vs_vivid
vivid,10,195444.15748364074,109.71048842592593,0.42385477765573787,4.524170312121313,0.9987268518518517,646737.710884161,0.996451388888889,1.0,1.0,1.0,1.0,0.0,0.0,0.0
dvs_voltmeter,10,999069.1573278758,262.51635838150287,0.5372281938391887,11.105704283324544,0.9999877723432636,954903.9346902047,0.981893063583815,9.861721935014101,4.723730701083481,4.735731298272668,1.1926662404422388,11.33734161834509,0.1260920491411821,881585.3103153261
iebcs,10,574284.0078234564,159.49070364606493,0.4953635242356187,6.383770651661364,1.0,833499.6998898301,0.9968041351711872,6.557502738617622,3.141969369668125,3.1490008704788934,1.6552183263551499,7.150874657988067,0.1273148148148151,437826.18593147676
pix2nvs,10,318967.44631658046,85.48307914628722,0.4974587581665726,3.5456585851109437,0.9567485549132948,634975.3965573215,0.9282481102712318,3.3496204306071506,1.6102141321841117,1.608532710118152,1.6555338459112778,7.360398051083469,-4.197829693855704,253549.74096182588
v2e,10,2216935.081092338,580.8285626945308,0.5019951418186203,24.64356470756267,0.9573788350377945,82946.74060688802,0.9503123610493553,22.87629920900694,10.997597842585566,10.98550606746443,0.2348731508055156,7.814036416288239,-4.134801681405728,2216153.328081764
vid2e,10,190655068.98550725,731.1693952867942,0.5006990707092711,2119.3315805414322,0.0712149844375278,118.72101448347169,0.07120275678079147,2106.439772560679,13.897628141525951,1011.5406644577739,0.00042888019233994613,7.684429305353319,-92.7511867414324,12943460.380076686
