simulator,sequence,condition,regime,file,width,height,duration_s,n_events,events_per_second,events_per_pixel,events_per_second_per_pixel,on_fraction,active_pixel_fraction,delay_inter_event_per_pixel_us,pixels_with_delay,pixels_with_delay_fraction
vivid,dark_aggressive,dark,aggressive,vivid/dark_aggressive.npz,240,180,16.875,2041010,120948.74074074074,47.24560185185185,2.7997393689986283,0.40464426925884733,1.0,342981.14391465735,43200,1.0
vivid,dark_robust,dark,robust,vivid/dark_robust.npz,240,180,34.96875,963285,27547.024128686327,22.29826388888889,0.6376625955714428,0.42531960946137437,0.9999305555555555,2169508.2976896074,42948,0.9941666666666666
vivid,dark_unstable,dark,unstable,vivid/dark_unstable.npz,240,180,20.5,1361205,66400.24390243902,31.509375,1.537042682926829,0.4110005473091856,1.0,690245.3156249047,43199,0.9999768518518518
vivid,global_aggressive,global,aggressive,vivid/global_aggressive.npz,240,180,16.875,11534673,683536.1777777778,267.00631944444444,15.82259670781893,0.4162450032176898,1.0,59037.76575771533,43200,1.0
vivid,global_robust-007,global,robust,vivid/global_robust-007.npz,240,180,52.53125,9382110,178600.5472932778,217.1784722222222,4.134271928085134,0.42483183420360665,1.0,301923.20146309445,43200,1.0
vivid,global_unstable,global,unstable,vivid/global_unstable.npz,240,180,23.90625,12158352,508584.65882352943,281.4433333333333,11.772793028322441,0.41465841752237476,1.0,84535.58336900934,43200,1.0
vivid,local_aggressive,local,aggressive,vivid/local_aggressive.npz,240,180,13.46875,1279504,94997.97679814385,29.618148148148148,2.199027240697774,0.44391889357125885,0.9990277777777777,287016.1107456299,43059,0.9967361111111112
vivid,local_robust,local,robust,vivid/local_robust.npz,240,180,34.96875,1109216,31720.207327971402,25.676296296296297,0.7342640585178566,0.4880068444739347,0.9895601851851852,1667733.4304908833,42311,0.9794212962962963
vivid,local_unstable,local,unstable,vivid/local_unstable.npz,240,180,17.0625,1005409,58925.069597069596,23.273356481481482,1.3640062406729072,0.460860207139582,0.99875,607479.2192280224,42950,0.9942129629629629
vivid,varying_robust-008,varying,robust,vivid/varying_robust-008.npz,240,180,35.8125,6560167,183180.92844677137,151.85571759259258,4.24029926960119,0.3490621503995249,1.0,256917.04055808482,43200,1.0
dvs_voltmeter,dark_aggressive,dark,aggressive,dvs_voltmeter/dark_aggressive.npz,346,260,16.849418,2034182,120727.13728153697,22.61207203201423,1.3420090849437192,0.5335918811591096,0.9998777234326367,403073.1605818669,73675,0.8189751000444642
dvs_voltmeter,dark_robust,dark,robust,dvs_voltmeter/dark_robust.npz,346,260,34.94394,1256174,35948.264563183206,13.963694975544687,0.39960276304116504,0.6147548030766439,1.0,4623761.627550326,89960,1.0
dvs_voltmeter,dark_unstable,dark,unstable,dvs_voltmeter/dark_unstable.npz,346,260,20.470234,1299130,63464.34535140145,14.441196087149844,0.705472936320603,0.566422144050249,1.0,3987670.491502504,89956,0.9999555357936861
