simulator,sequence,file,width,height,duration_s,n_events,events_per_second,events_per_pixel,on_fraction,active_pixel_fraction,delay_inter_event_per_pixel_us,pixels_with_delay,pixels_with_delay_fraction
vivid,dark_aggresive,C:\Users\yazid\Desktop\data simulated brut\unified_data\vivid\dark_aggresive\events.npz,240,180,16.875,2041010,120948.74074074074,47.24560185185185,0.40464426925884733,1.0,342981.14391465735,43200,1.0
vivid,dark_robust,C:\Users\yazid\Desktop\data simulated brut\unified_data\vivid\dark_robust\events.npz,240,180,34.96875,963285,27547.024128686327,22.29826388888889,0.42531960946137437,0.9999305555555555,2169508.2976896074,42948,0.9941666666666666
vivid,dark_unstable,C:\Users\yazid\Desktop\data simulated brut\unified_data\vivid\dark_unstable\events.npz,240,180,20.5,1361205,66400.24390243902,31.509375,0.4110005473091856,1.0,690245.3156249047,43199,0.9999768518518518
vivid,global_aggresive,C:\Users\yazid\Desktop\data simulated brut\unified_data\vivid\global_aggresive\events.npz,240,180,16.875,11534673,683536.1777777778,267.00631944444444,0.4162450032176898,1.0,59037.76575771533,43200,1.0
vivid,global_robust-007,C:\Users\yazid\Desktop\data simulated brut\unified_data\vivid\global_robust-007\events.npz,240,180,52.53125,9382110,178600.5472932778,217.1784722222222,0.42483183420360665,1.0,301923.20146309445,43200,1.0
vivid,global_unstable,C:\Users\yazid\Desktop\data simulated brut\unified_data\vivid\global_unstable\events.npz,240,180,23.90625,12158352,508584.65882352943,281.4433333333333,0.41465841752237476,1.0,84535.58336900934,43200,1.0
vivid,local_aggressive,C:\Users\yazid\Desktop\data simulated brut\unified_data\vivid\local_aggressive\events.npz,240,180,13.46875,1279504,94997.97679814385,29.618148148148148,0.44391889357125885,0.9990277777777777,287016.1107456299,43059,0.9967361111111112
vivid,local_robust,C:\Users\yazid\Desktop\data simulated brut\unified_data\vivid\local_robust\events.npz,240,180,34.96875,1109216,31720.207327971402,25.676296296296297,0.4880068444739347,0.9895601851851852,1667733.4304908833,42311,0.9794212962962963
vivid,local_unstable,C:\Users\yazid\Desktop\data simulated brut\unified_data\vivid\local_unstable\events.npz,240,180,17.0625,1005409,58925.069597069596,23.273356481481482,0.460860207139582,0.99875,607479.2192280224,42950,0.9942129629629629
vivid,varying_robust-008,C:\Users\yazid\Desktop\data simulated brut\unified_data\vivid\varying_robust-008\events.npz,240,180,35.8125,6560167,183180.92844677137,151.85571759259258,0.3490621503995249,1.0,256917.04055808482,43200,1.0
dvs_voltmeter,dark_aggresive,C:\Users\yazid\Desktop\data simulated brut\unified_data\dvs_voltmeter\dark_aggresive\events.npz,346,260,16.849418,2034182,120727.13728153697,22.61207203201423,0.5335918811591096,0.9998777234326367,403073.1605818669,73675,0.8189751000444642
dvs_voltmeter,dark_robust,C:\Users\yazid\Desktop\data simulated brut\unified_data\dvs_voltmeter\dark_robust\events.npz,346,260,34.94394,1256174,35948.264563183206,13.963694975544687,0.6147548030766439,1.0,4623761.627550326,89960,1.0
dvs_voltmeter,dark_unstable,C:\Users\yazid\Desktop\data simulated brut\unified_data\dvs_voltmeter\dark_unstable\events.npz,346,260,20.470234,1299130,63464.34535140145,14.441196087149844,0.566422144050249,1.0,3987670.491502504,89956,0.9999555357936861
dvs_voltmeter,global_aggresive,C:\Users\yazid\Desktop\data simulated brut\unified_data\dvs_voltmeter\global_aggresive\events.npz,346,260,16.81894,30417732,1808540.3717475655,338.12507781236104,0.5182119429548527,1.0,54311.13598584314,89960,1.0
dvs_voltmeter,global_robust-007,C:\Users\yazid\Desktop\data simulated brut\unified_data\dvs_voltmeter\global_robust-007\events.npz,346,260,51.791171,39597837,764567.3236467274,440.171598488217,0.5509984547893361,1.0,134796.17829059463,89960,1.0
dvs_voltmeter,global_unstable,C:\Users\yazid\Desktop\data simulated brut\unified_data\dvs_voltmeter\global_unstable\events.npz,346,260,23.890399,33571090,1405212.6128157175,373.17796798577143,0.5258898057822966,1.0,74377.03862015741,89960,1.0
dvs_voltmeter,local_aggressive,C:\Users\yazid\Desktop\data simulated brut\unified_data\dvs_voltmeter\local_aggressive\events.npz,346,260,13.402498,28976411,2162015.692895459,322.10327923521567,0.5091511850794772,1.0,40980.24276928982,89960,1.0
