simulator,n_sequences,events_per_second,events_per_pixel,on_fraction,active_pixel_fraction,delay_inter_event_per_pixel_us,pixels_with_delay_fraction,events_per_second_vs_vivid,events_per_pixel_vs_vivid,delay_vs_vivid,on_fraction_diff_pp_vs_vivid,active_pixel_diff_pp_vs_vivid,temporal_window_rmse_vs_vivid
vivid,10,195444.15748364074,109.71048842592593,0.42385477765573787,0.9987268518518517,646737.710884161,0.996451388888889,1.0,1.0,1.0,0.0,0.0,0.0
dvs_voltmeter,10,999069.1573278758,262.51635838150287,0.5372281938391887,0.9999877723432636,954903.9346902047,0.981893063583815,5.111788298974867,2.3928100416647773,1.476493358311744,11.337341618345087,0.126092049141191,882193.5101720449
iebcs,10,574284.0078234564,159.49070364606493,0.4953635242356187,1.0,833499.6998898301,0.9968041351711872,2.93835341622594,1.4537416242910037,1.2887754739867343,7.150874657988082,0.12731481481482732,438060.13884140353
pix2nvs,10,318967.44631658046,85.48307914628722,0.4974587581665726,0.9567485549132948,634975.3965573215,0.9282481102712318,1.63201320736988,0.7791696160755267,0.9818128522136755,7.360398051083472,-4.1978296938556925,254131.0025425207
v2e,10,2216935.081092338,580.8285626945308,0.5019951418186203,0.9573788350377945,82946.74060688802,0.9503123610493553,11.343061412710187,5.294193572811348,0.1282540653049144,7.814036416288239,-4.13480168140572,2220930.9863939853
vid2e,10,2808319.290934148,731.1693952867942,0.5006990707092711,0.9595420186749667,51775.6586068972,0.9595420186749667,14.368908884724336,6.664535048355594,0.08005665625422435,7.684429305353325,-3.9184833176885037,2787676.015618531
